Player,BPM,2P,3P
DeMar DeRozan,1.8,556,89
Terry Rozier,1.8,163,153
Duncan Robinson,1.9,22,78
Jeff Teague,1.9,312,90
Pat Connaughton,1.9,30,18
Ricky Rubio,1.9,157,62
Willie Cauley-Stein,2,411,1
Evan Fournier,2,103,73
Royce O'Neale,2,24,33
Amile Jefferson,2.1,10,0
Terence Davis,2.1,31,27
Brandon Clarke,2.1,85,12
Maurice Harkless,2.2,156,33
Brandon Knight,2.2,30,21
Willy Hernangómez,2.2,38,4
Justin Holiday,2.2,30,41
Lou Williams,2.2,265,163
Ersan İlyasova,2.2,47,19
Daniel Gafford,2.3,36,0
Tobias Harris,2.3,337,80
Khris Middleton,2.3,91,40
Khem Birch,2.4,91,0
Al-Farouq Aminu,2.4,113,34
Michael Carter-Williams,2.4,18,3
Ian Mahinmi,2.4,264,0
Gorgui Dieng,2.5,258,1
Reggie Jackson,2.6,205,44
Rudy Gay,2.7,352,57
Jonathan Isaac,2.7,85,26
John Henson,2.7,196,0
Chandler Parsons,2.7,304,152
Marvin Williams,2.7,186,152
Chris Boucher,2.8,30,11
Jrue Holiday,2.8,429,118
Bradley Beal,2.8,555,209
James Ennis,2.8,26,24
Jae Crowder,2.8,238,122
Daniel Theis,2.8,56,7
Danilo Gallinari,2.9,248,161
Jaylen Hoard,2.9,3,0
Brook Lopez,2.9,47,35
DeMarre Carroll,2.9,198,120
Kelly Olynyk,2.9,210,106
Clint Capela,3,441,0
Damian Jones,3,53,0
Dāvis Bertāns,3,28,92
Robin Lopez,3,355,0
Robert Covington,3,20,30
Serge Ibaka,3,261,1
Denzel Valentine,3,14,19
Joe Ingles,3.1,131,204
Patrick Patterson,3.2,135,105
OG Anunoby,3.3,67,35
Kyle Korver,3.3,71,221
Jarrell Brantley,3.3,0,0
Justin Patton,3.3,1,0
LaMarcus Aldridge,3.3,660,27
Myles Turner,3.3,304,76
Ed Davis,3.3,206,0
Patty Mills,3.3,174,135
Will Barton,3.3,77,40
Nemanja Bjelica,3.4,64,48
Trevor Ariza,3.4,209,180
Pascal Siakam,3.4,440,79
Jarrett Allen,3.4,119,0
D'Angelo Russell,3.4,425,234
Eric Bledsoe,3.5,346,124
Patrick Beverley,3.5,35,34
Thabo Sefolosha,3.5,116,108
Chris Silva,3.5,31,0
JaVale McGee,3.6,85,0
Boban Marjanović,3.6,105,0
Jared Dudley,3.7,105,120
Kevon Looney,3.7,216,1
Domantas Sabonis,3.7,404,9
Jordan Bell,3.7,116,0
Richaun Holmes,3.7,127,0
Shamorie Ponds,3.8,2,0
Dragan Bender,3.9,4,2
Wesley Matthews,3.9,164,173
Otto Porter,3.9,266,148
Seth Curry,3.9,0,1
Dwight Powell,4,251,39
Kyle Anderson,4.1,212,19
Joel Embiid,4.1,501,79
DeAndre Jordan,4.1,348,0
Gordon Hayward,4.2,396,149
Tyson Chandler,4.2,293,0
Skal Labissière,4.2,20,6
Mason Plumlee,4.2,62,0
Jakob Pöltl,4.2,187,0
Montrezl Harrell,4.2,543,3
Malcolm Brogdon,4.2,119,33
Derrick Favors,4.3,346,17
Andre Iguodala,4.4,211,76
James Johnson,4.5,121,22
Enes Kanter,4.5,55,0
Kyle O'Quinn,4.5,220,4
Ryan Anderson,4.6,166,166
Ben Simmons,4.6,544,0
Aron Baynes,4.7,52,27
Steven Adams,4.7,97,0
Nenê,4.7,421,0
Blake Griffin,4.8,572,5
Al Horford,4.8,314,73
Victor Oladipo,4.9,479,161
Danny Green,5,131,191
Bam Adebayo,5.1,141,1
Jusuf Nurkić,5.1,417,3
Tim Hardaway,5.1,372,203
Kemba Walker,5.3,87,87
Paul Millsap,5.3,427,74
Isaiah Thomas,5.4,437,245
Pau Gasol,5.4,452,0
Dwight Howard,5.5,510,0
Andre Drummond,5.5,466,0
Paul George,5.5,63,65
George Hill,5.6,186,69
Mike Conley,5.7,293,171
Mitchell Robinson,5.7,202,0
Larry Nance,5.8,556,0
Draymond Green,5.8,301,100
Derrick Rose,5.9,583,128
Marc Gasol,6.1,428,1
Kyrie Irving,6.4,430,174
Nerlens Noel,6.5,70,0
Damian Lillard,6.7,394,227
Kyle Lowry,6.8,300,212
Jimmy Butler,6.9,479,91
Vince Carter,7,600,162
Rudy Gobert,7,476,0
DeMarcus Cousins,7.1,516,131
Norvel Pelle,7.4,5,0
Kawhi Leonard,8.3,422,129
Kevin Love,8.4,460,190
Anthony Davis,8.5,482,48
Kevin Durant,8.8,657,192
Karl-Anthony Towns,9,125,82
Nikola Jokić,9.5,533,83
Chimezie Metu,10.7,7,0
Chris Paul,11.2,567,64
James Harden,11.7,465,378
Giannis Antetokounmpo,12.4,246,41
Stephen Curry,12.5,403,402
LeBron James,13,657,132
Luka Dončić,13.7,160,76
Gerald Green,17.7,34,15
Naz Mitrou-Long,54.4,0,1
